website,title,link
www.geeksforgeeks.org,Cookie Policy,"https://www.geeksforgeeks.org/legal/privacy-policy/#:~:text=the%20appropriate%20measures.-,COOKIE%20POLICY,-A%20cookie%20is"
www.geeksforgeeks.org,Privacy Policy,https://www.geeksforgeeks.org/privacy-policy/
www.geeksforgeeks.org,No Title,https://www.geeksforgeeks.org/
www.geeksforgeeks.org,Trending Now,https://www.geeksforgeeks.org/trending/
www.geeksforgeeks.org,DSA,https://www.geeksforgeeks.org/learn-data-structures-and-algorithms-dsa-tutorial/
www.geeksforgeeks.org,Web Tech,https://www.geeksforgeeks.org/web-technology/
www.geeksforgeeks.org,Foundational Courses,https://www.geeksforgeeks.org/courses/category/programming-languages?courseFeeType=paid&utm_source=geeksforgeeks&utm_medium=sub_header&utm_campaign=courses
www.geeksforgeeks.org,Data Science,https://www.geeksforgeeks.org/courses/data-science-live?itm_source=geeksforgeeks&itm_medium=gfg_submenu&itm_campaign=DS_Submenu
www.geeksforgeeks.org,Practice Problem,https://practice.geeksforgeeks.org/explore?page=1&sortBy=submissions
www.geeksforgeeks.org,Python,https://www.geeksforgeeks.org/python-programming-language/
www.geeksforgeeks.org,Machine Learning,https://www.geeksforgeeks.org/machine-learning/
www.geeksforgeeks.org,JavaScript,https://www.geeksforgeeks.org/javascript/
www.geeksforgeeks.org,System Design,https://www.geeksforgeeks.org/system-design-tutorial/
www.geeksforgeeks.org,Django,https://www.geeksforgeeks.org/django-tutorial/
www.geeksforgeeks.org,DevOps Tutorial,https://www.geeksforgeeks.org/devops-tutorial/
www.geeksforgeeks.org,Java,https://www.geeksforgeeks.org/java/
www.geeksforgeeks.org,C,https://www.geeksforgeeks.org/c-programming-language/
www.geeksforgeeks.org,C++,https://www.geeksforgeeks.org/c-plus-plus/
www.geeksforgeeks.org,ReactJS,https://www.geeksforgeeks.org/learn-reactjs/
www.geeksforgeeks.org,NodeJS,https://www.geeksforgeeks.org/nodejs/
www.geeksforgeeks.org,CP Live,https://www.geeksforgeeks.org/courses/competitive-programming-live?itm_source=geeksforgeeks&itm_medium=gfg_submenu&itm_campaign=DS_Submenu
www.geeksforgeeks.org,Aptitude,https://www.geeksforgeeks.org/aptitude-questions-and-answers/
www.geeksforgeeks.org,Puzzles,https://www.geeksforgeeks.org/puzzles/
www.geeksforgeeks.org,Projects,https://www.geeksforgeeks.org/computer-science-projects/
www.geeksforgeeks.org,No Title,https://www.geeksforgeeks.org/courses/category/special-offers
www.geeksforgeeks.org,No Title,https://www.geeksforgeeks.org/courses/category/power-play
www.geeksforgeeks.org,View All,/courses/category/all?courseType=all&courseFeeType=all
www.geeksforgeeks.org,30% Additional Discount270k+interested Geeks4.8DSA to Development: A Complete GuideBeginner to Advance4seats leftExplore,/courses/dsa-to-development-coding-guide
www.geeksforgeeks.org,25% Additional Discount247k+interested Geeks4.7Full Stack Development with React & Node JS - LiveBeginner to Advance8seats leftExplore,/courses/full-stack-node
www.geeksforgeeks.org,25% Additional Discount269k+interested Geeks4.8Complete Machine Learning & Data Science ProgramBeginner to Advance34seats leftExplore,/courses/data-science-live
www.geeksforgeeks.org,25% Additional Discount3k+interested Geeks4.8GATE Data Science and Artificial Intelligence 2025Explore,/courses/gate-ds-ai-self-paced
www.geeksforgeeks.org,Trending Technologies,/courses/category/trending-technologies
www.geeksforgeeks.org,DSA / Placements,/courses/category/dsa-placements
www.geeksforgeeks.org,Development / Testing,/courses/category/development-testing
www.geeksforgeeks.org,Machine Learning / Data Science,/courses/category/machine-learning-data-science
www.geeksforgeeks.org,Programming Languages,/courses/category/programming-languages
www.geeksforgeeks.org,Cloud / DevOps,/courses/category/cloud-devops
www.geeksforgeeks.org,GATE,/courses/category/gate
www.geeksforgeeks.org,All,/courses/category/all
www.geeksforgeeks.org,View All,/courses/category/all?courseType=live&courseFeeType=all
www.geeksforgeeks.org,30% Additional Discount284k+interested Geeks4.9Tech Interview 101 - From DSA to System Design for Working ProfessionalsBeginner to AdvanceExplore,/courses/interviewe-101-data-structures-algorithm-system-design
www.geeksforgeeks.org,"25% Additional Discount26k+interested Geeks4.8Complete Guide to Software Testing and Automation: Master Java, Selenium and CucumberBeginner to AdvanceExplore",/courses/complete-guide-to-software-testing-automation
www.geeksforgeeks.org,25% Additional Discount195k+interested Geeks4.8JAVA Backend Development - LiveIntermediate and AdvanceExplore,/courses/Java-backend-live
www.geeksforgeeks.org,25% Additional Discount69k+interested Geeks4.6DevOps Engineering - Planning to ProductionBeginner to AdvanceExplore,/courses/devops-live
www.geeksforgeeks.org,View All,/courses/category/all?courseType=online&courseFeeType=all
www.geeksforgeeks.org,30% Additional Discount913k+interested Geeks4.9Complete Interview PreparationBeginner to AdvanceExplore,/courses/complete-interview-preparation
www.geeksforgeeks.org,25% Additional Discount269k+interested Geeks4.8Data Structures & Algorithms in Python - Self PacedBeginner to AdvanceExplore,/courses/Data-Structures-With-Python
www.geeksforgeeks.org,25% Additional Discount1198k+interested Geeks4.7Data Structures and Algorithms - Self PacedBeginner to AdvanceExplore,/courses/dsa-self-paced
www.geeksforgeeks.org,25% Additional Discount15k+interested Geeks4.8Mastering Android Development with Kotlin From Beginner to ProBeginner to AdvanceExplore,/courses/mastering-android-app-development
www.geeksforgeeks.org,View All,/courses/category/all?courseType=all&courseFeeType=all
www.geeksforgeeks.org,25% Additional Discount1k+interested GeeksMastering ReactJS - Complete Beginner to AdvanceBeginner to AdvanceExplore,/courses/react-js-beginner-to-advance
www.geeksforgeeks.org,25% Additional Discount1k+interested Geeks5.0Mastering Django Framework: Basics to AdvanceBeginner and IntermediateExplore,/courses/mastering-django-framework-beginner-to-advance
www.geeksforgeeks.org,25% Additional Discount4k+interested GeeksMastering Generative AI and ChatGPTBeginner to AdvanceExplore,/courses/mastering-generative-ai-and-chat-gpt
www.geeksforgeeks.org,25% Additional Discount13k+interested Geeks4.8AWS Cloud Practitioner Certification CourseBeginner to AdvanceExplore,/courses/aws-cloud-practitioner-certification-course
www.geeksforgeeks.org,View All,/courses/category/all?courseType=all&courseFeeType=all
